block_id_v1,er_web,er_web_rescaled,sa_web,sa_web_rescaled,score_v1_web,sm_web,sm_web_rescaled,sp_web,sp_web_rescaled,ve_web,ve_web_rescaled,vg_web,vg_web_rescaled
8730,6580.333333333333,28,87493.22222222222,15.666666666666666,28,NA,NA,1753.3333333333333,27.666666666666668,NA,NA,1198.9366319444443,16
8731,6572.333333333333,28,90135.66666666667,16,28,NA,NA,1767,28,NA,NA,1193.0378824869792,16
8732,6601,28,81869,15,27,NA,NA,1665,26,NA,NA,1211.1503363715278,16
8733,6598,28,81868,15,27,NA,NA,1665,26,NA,NA,1204.1972045898438,16
8734,6587,28,87494.66666666667,15.666666666666666,28,NA,NA,1753.3333333333333,27.666666666666668,NA,NA,1197.432596842448,16
8735,6579,28,90137.25,16,28,NA,NA,1767,28,NA,NA,1190.5688781738281,16
8736,6571,28,90135.83333333333,16,28,NA,NA,1767,28,NA,NA,1190.6492716471355,16
8737,6572.333333333333,28,90136.66666666667,16,28,NA,NA,1767,28,NA,NA,1184.7879638671875,16
8738,6573,28,90137,16,28,NA,NA,1767,28,NA,NA,1181.0013224283855,16
8739,6573,28,90137,16,28,NA,NA,1767,28,NA,NA,1176.218505859375,16
8740,6572.111111111111,28,90135.44444444444,16,28,NA,NA,1767,28,NA,NA,1187.1531846788193,16
8741,6572.333333333333,28,90136.11111111111,16,28,NA,NA,1767,28,NA,NA,1180.1196831597222,16
8742,6573,28,90136.66666666667,16,28,NA,NA,1767,28,NA,NA,1174.3003540039062,16
8743,6573,28,90136.66666666667,16,28,NA,NA,1767,28,NA,NA,1168.3361952039932,15.333333333333334
8744,6578.833333333333,28,90137.5,16,28,NA,NA,1767,28,NA,NA,1183.721659342448,16
8745,6576.5,28,90138.83333333333,16,28,NA,NA,1767,28,NA,NA,1175.5376790364583,16
8746,6575.5,28,90139.5,16,28,NA,NA,1767,28,NA,NA,1168.7664489746094,15.25
8747,6575.5,28,90139,16,28,NA,NA,1767,28,NA,NA,1161.8267822265625,15
8748,6573,28,90137.16666666667,16,28,NA,NA,1767,28,NA,NA,1174.5533040364583,16
8749,6571.666666666667,28,90138.22222222222,16,28,NA,NA,1766.888888888889,28,NA,NA,1177.4178466796875,16
8750,6568,28,90138.33333333333,16,28,NA,NA,1766.3333333333333,28,NA,NA,1180.4121500651042,16
8751,6568,28,90138.55555555556,16,28,NA,NA,1766.3333333333333,28,NA,NA,1183.3352728949653,16
8752,6573,28,90136.66666666667,16,28,NA,NA,1767,28,NA,NA,1165.7566528320312,15
8753,6571.666666666667,28,90138.66666666667,16,28,NA,NA,1767,28,NA,NA,1168.0719672309028,15.333333333333334
8754,6568,28,90139,16,28,NA,NA,1767,28,NA,NA,1171.0700439453126,15.8
8755,6568,28,90139,16,28,NA,NA,1767,28,NA,NA,1174.5895385742188,16
8756,6575.5,28,90139,16,28,NA,NA,1767,28,NA,NA,1158.4920654296875,15
